date,nao_index_daily
1950-01-01,0.3650000095367432
1950-01-02,0.09600000083446504
1950-01-03,-0.4160000085830689
1950-01-04,-0.6159999966621399
1950-01-05,-0.26100000739097595
1950-01-06,0.052000001072883606
1950-01-07,-0.15600000321865082
1950-01-08,-0.4399999976158142
1950-01-09,-0.4970000088214874
1950-01-10,-0.22699999809265134
1950-01-11,0.20999999344348907
1950-01-12,0.3140000104904175
1950-01-13,0.4769999980926514
1950-01-14,0.7329999804496765
1950-01-15,0.8790000081062317
1950-01-16,0.753000020980835
1950-01-17,0.6610000133514404
1950-01-18,0.4729999899864197
1950-01-19,0.5669999718666077
1950-01-20,0.9760000109672546
1950-01-21,1.1979999542236328
1950-01-22,1.131999969482422
1950-01-23,1.1059999465942385
1950-01-24,0.765999972820282
1950-01-25,0.4440000057220459
1950-01-26,0.6930000185966492
1950-01-27,1.2869999408721924
1950-01-28,1.1779999732971191
1950-01-29,0.7820000052452087
1950-01-30,0.8050000071525574
1950-01-31,1.0349999666213991
1950-02-01,0.9929999709129332
1950-02-02,0.8389999866485596
1950-02-03,0.8730000257492065
1950-02-04,1.0099999904632568
1950-02-05,0.9240000247955322
1950-02-06,0.878000020980835
1950-02-07,0.9330000281333924
1950-02-08,0.8659999966621399
1950-02-09,0.6320000290870667
1950-02-10,0.5220000147819519
1950-02-11,0.2290000021457672
1950-02-12,-0.0070000002160668364
1950-02-13,-0.07100000232458115
1950-02-14,-0.06400000303983687
1950-02-15,0.1459999978542328
1950-02-16,0.32899999618530273
1950-02-17,0.4850000143051148
1950-02-18,0.7649999856948853
1950-02-19,0.7440000176429749
1950-02-20,0.5249999761581421
1950-02-21,0.09300000220537186
1950-02-22,-0.12200000137090684
1950-02-23,-0.15399999916553495
1950-02-24,0.0949999988079071
1950-02-25,0.23499999940395355
1950-02-26,0.1459999978542328
1950-02-27,-0.050999999046325684
1950-02-28,-0.0130000002682209
1950-03-01,0.3569999933242798
1950-03-02,0.6039999723434448
1950-03-03,0.9070000052452089
1950-03-04,1.2419999837875366
1950-03-05,1.121000051498413
1950-03-06,0.6010000109672546
1950-03-07,0.15700000524520874
1950-03-08,0.052000001072883606
1950-03-09,-0.2630000114440918
1950-03-10,-0.4850000143051148
1950-03-11,-0.6570000052452087
1950-03-12,-0.6850000023841858
1950-03-13,-0.8050000071525574
1950-03-14,-0.9520000219345092
1950-03-15,-0.8569999933242798
1950-03-16,-0.4740000069141388
1950-03-17,-0.15299999713897705
1950-03-18,-0.1040000021457672
1950-03-19,-0.10199999809265137
1950-03-20,-0.04399999976158142
1950-03-21,0.032000001519918435
1950-03-22,0.05000000074505806
1950-03-23,0.050999999046325684
1950-03-24,-0.05000000074505806
1950-03-25,-0.07699999958276749
1950-03-26,-0.05299999937415123
1950-03-27,-0.3160000145435333
1950-03-28,-0.31700000166893005
1950-03-29,0.019999999552965164
1950-03-30,0.5569999814033508
1950-03-31,0.902999997138977
1950-04-01,1.0440000295639038
1950-04-02,0.5759999752044678
1950-04-03,0.4810000061988831
1950-04-04,0.6859999895095825
1950-04-05,0.7149999737739563
1950-04-06,0.4830000102519989
1950-04-07,0.5299999713897705
1950-04-08,0.6600000262260437
1950-04-09,0.4650000035762787
1950-04-10,0.4810000061988831
1950-04-11,0.4900000095367432
1950-04-12,0.22300000488758087
1950-04-13,0.13099999725818634
1950-04-14,0.4110000133514404
1950-04-15,0.9449999928474426
1950-04-16,0.9670000076293944
1950-04-17,0.9139999747276306
1950-04-18,0.621999979019165
1950-04-19,0.8299999833106995
1950-04-20,0.9980000257492064
1950-04-21,0.4950000047683716
1950-04-22,0.04399999976158142
1950-04-23,-0.4550000131130218
1950-04-24,-0.8980000019073486
1950-04-25,-1.0800000429153442
1950-04-26,-1.3040000200271606
1950-04-27,-1.118000030517578
1950-04-28,-0.7570000290870667
1950-04-29,-0.3230000138282776
1950-04-30,-0.0729999989271164
1950-05-01,0.07100000232458115
1950-05-02,0.054999999701976776
1950-05-03,0.23100000619888306
1950-05-04,0.4930000007152557
1950-05-05,0.296999990940094
1950-05-06,-0.026000000536441803
1950-05-07,0.36000001430511475
1950-05-08,0.4699999988079071
1950-05-09,0.4070000052452088
1950-05-10,0.6340000033378601
1950-05-11,0.5339999794960022
1950-05-12,0.009999999776482582
1950-05-13,-0.4990000128746033
1950-05-14,-0.7620000243186951
1950-05-15,-0.9120000004768372
1950-05-16,-0.977999985218048
1950-05-17,-0.8799999952316284
1950-05-18,-0.7239999771118164
1950-05-19,-0.5669999718666077
1950-05-20,-0.5189999938011169
1950-05-21,-0.4939999878406525
1950-05-22,-0.5849999785423279
1950-05-23,-0.75
1950-05-24,-0.847000002861023
1950-05-25,-0.8259999752044678
1950-05-26,-0.6010000109672546
1950-05-27,-0.5180000066757202
1950-05-28,-0.421999990940094
1950-05-29,-0.1599999964237213
1950-05-30,-0.2680000066757202
1950-05-31,-0.3219999969005585
1950-06-01,-0.1040000021457672
1950-06-02,-0.04399999976158142
1950-06-03,0.23100000619888306
1950-06-04,0.6100000143051147
1950-06-05,0.8230000138282776
1950-06-06,0.9319999814033508
1950-06-07,1.1579999923706057
1950-06-08,1.0839999914169312
1950-06-09,0.9549999833106996
1950-06-10,0.7269999980926514
1950-06-11,0.5910000205039978
1950-06-12,0.27900001406669617
1950-06-13,0.1809999942779541
1950-06-14,-0.10700000077486037
1950-06-15,-0.003000000026077032
1950-06-16,0.2240000069141388
1950-06-17,0.04899999871850014
1950-06-18,-0.020999999716877937
1950-06-19,-0.08100000023841858
1950-06-20,-0.3179999887943268
1950-06-21,-0.5929999947547913
1950-06-22,-1.1990000009536743
1950-06-23,-1.8339999914169312
1950-06-24,-1.9789999723434448
1950-06-25,-1.6050000190734863
1950-06-26,-1.1299999952316284
1950-06-27,-0.6480000019073486
1950-06-28,-0.3210000097751617
1950-06-29,-0.12300000339746475
1950-06-30,0.014000000432133676
1950-07-01,0.1289999932050705
1950-07-02,0.1169999986886978
1950-07-03,0.3880000114440918
1950-07-04,0.6959999799728394
1950-07-05,0.5320000052452087
1950-07-06,0.2840000092983246
1950-07-07,0.026000000536441803
1950-07-08,-0.3310000002384186
1950-07-09,-0.7089999914169312
1950-07-10,-0.8199999928474426
1950-07-11,-0.8659999966621399
1950-07-12,-0.5410000085830688
1950-07-13,-0.3849999904632568
1950-07-14,-0.6740000247955322
1950-07-15,-1.0169999599456787
1950-07-16,-1.5169999599456787
1950-07-17,-1.963000059127808
1950-07-18,-2.0
1950-07-19,-1.8179999589920044
1950-07-20,-1.4220000505447388
1950-07-21,-0.9800000190734864
1950-07-22,-0.7319999933242798
1950-07-23,-0.4490000009536743
1950-07-24,-0.25799998641014105
1950-07-25,-0.2029999941587448
1950-07-26,-0.37700000405311584
1950-07-27,-0.6449999809265137
1950-07-28,-1.1579999923706057
1950-07-29,-1.4520000219345093
1950-07-30,-1.3489999771118164
1950-07-31,-1.2109999656677246
1950-08-01,-0.9449999928474426
1950-08-02,-0.7870000004768372
1950-08-03,-0.7730000019073486
1950-08-04,-0.8730000257492065
1950-08-05,-1.0260000228881836
1950-08-06,-0.5360000133514404
1950-08-07,-0.2549999952316284
1950-08-08,-0.09700000286102296
1950-08-09,-0.012000000104308128
1950-08-10,0.1879999935626984
1950-08-11,0.5090000033378601
1950-08-12,0.7960000038146973
1950-08-13,1.0319999456405642
1950-08-14,1.14900004863739
1950-08-15,0.8970000147819519
1950-08-16,0.6290000081062317
1950-08-17,0.5239999890327454
1950-08-18,0.3230000138282776
1950-08-19,-0.07999999821186066
1950-08-20,-0.14900000393390656
1950-08-21,-0.35499998927116394
1950-08-22,-0.593999981880188
1950-08-23,-0.6800000071525574
1950-08-24,-0.5450000166893005
1950-08-25,-0.4850000143051148
1950-08-26,-0.5989999771118164
1950-08-27,-0.382999986410141
1950-08-28,-0.09700000286102296
1950-08-29,0.1040000021457672
1950-08-30,0.3910000026226044
